"","Artist","Followers","Popularity","num_songs","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","id"
"526","PENTAGON",1128171,65,1,"k-pop","k-pop boy group",NA,NA,NA,NA,NA,NA,NA,NA,"1wKpMkucynaTfG8lyPprYV"
"527","Perfume",550141,58,1,"bitpop","j-idol","j-pop","j-pop girl group","japanese electropop","shibuya-kei",NA,NA,NA,NA,"2XMxWKPKCxoLkSdpCViCnr"
"528","Philtre",440,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3FIZk2kINBRZGWMxOfSevK"
"529","Playdough",2806,15,1,"christian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2hjEGPXpN1BGpNjODQ4ImL"
"530","Priscilla",1280,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3guo5KSFSYSvcyH7kEiNBy"
"531","Q-Tip",437107,66,1,"alternative hip hop","east coast hip hop","hardcore hip hop","hip hop","neo soul","queens hip hop",NA,NA,NA,NA,"3ZotbHeyVQKxQCPDJuQ4SU"
"532","R.A. The Rugged Man",98318,54,1,"alternative hip hop","conscious hip hop","east coast hip hop","hardcore hip hop","hip hop","underground rap",NA,NA,NA,NA,"3mUHAiDazZq75gh6If5zoD"
"533","Raekwon",409211,65,1,"alternative hip hop","east coast hip hop","gangster rap","hardcore hip hop","hip hop","rap","southern hip hop",NA,NA,NA,"2yQf6b8hxahZaT5dHlWaB1"
"534","Raito",4606,41,1,"japanese vgm","sound team",NA,NA,NA,NA,NA,NA,NA,NA,"7kxmGiNppHPNj3rfnolmkN"
"535","Rakim",545405,60,1,"east coast hip hop","gangster rap","hardcore hip hop","hip hop","rap",NA,NA,NA,NA,NA,"3PyWEKLWI0vHPmoNrIX0QE"
"536","Rakiyah",2497,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3EaMWS6JZsJwBICEFUsWPR"
"537","Rapsody",178246,60,1,"alternative hip hop","hip hop","north carolina hip hop","southern hip hop","trap queen","underground hip hop",NA,NA,NA,NA,"6NL31G53xThQXkFs7lDpL5"
"538","Rarin",11656,66,1,"sad rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3VhKwjUzCzgIJAzpjMBXmQ"
"539","Red Velvet - IRENE & SEULGI",192840,63,1,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6bwp9ObI8FWvMPCIWVBmhl"
"540","Reddy",26121,46,1,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"69H1Ooj2eBJXLTk3IEBV0v"
"541","RHYME",492,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5soNcAUPxpWwipU594dlqZ"
"542","Rich Travali",120,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0vjnkhhMwacKwkrJFE0TVH"
"543","Richie Kohan",1132,51,1,"epicore",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3QYRu7CWJylnxkvbTS3ovC"
"544","RJD2",311702,57,1,"alternative hip hop","big beat","electronica","jazztronica","ninja","nu jazz","turntablism",NA,NA,NA,"1O3ZOjqFLEnbpZexcRjocn"
"545","Rob Thomas",626835,65,1,"neo mellow","pop rock",NA,NA,NA,NA,NA,NA,NA,NA,"3aBkeBhwadnWMWoVJ2CxJC"
"546","Rockwell",15551,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3xs0LEzcPXtgNfMNcHzLIP"
"547","Rolling Quartz",15473,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5mVYT7sPm3xsNMrA8YWONe"
"548","Ruff Loaderz",504,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5JOIrGvup0vD5VjodB62Ui"
"549","Ryan Tedder",22715,62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4we5S2VLjgY9KzIzApL1KI"
"550","SAAY",66681,48,1,"korean r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2pvCf5g7XBReiPIvcq7W18"
"551","Sama-D",13,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4u9CDfsHbUCQ8ExDcpYDOB"
"552","San E",68873,42,1,"k-pop","k-rap",NA,NA,NA,NA,NA,NA,NA,NA,"61MMiylth1injW39oZBuYB"
"553","Saudi",17073,55,1,"south african hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"37Qsf5KCKljH7mL134xp4k"
"554","SCANDAL",218980,54,1,"anime","idol rock","j-pop","j-poprock",NA,NA,NA,NA,NA,NA,"7hTZwqQILVH4bAbN67CeEz"
"555","Selena Gomez & The Scene",6127336,71,1,"dance pop","electropop","pop","pop dance","pop rap","post-teen pop","viral pop",NA,NA,NA,"6dJeKm76NjfXBNTpHmOhfO"
"556","Seo Taiji and Boys",11814,32,1,"korean pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"52Gsa9Zypqztm2DeNkQfCm"
"557","SEUNGRI",414237,62,1,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20j1uz7iDOtIvIzCr5S8nx"
"558","Shaboozey",11884,56,1,"pop rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3y2cIKLjiOlp1Np37WiUdH"
"559","Shina-E",5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0zWF6kgIyBbdEnrxWLgh2V"
"560","SHINee",2060120,66,1,"k-pop","k-pop boy group","korean pop",NA,NA,NA,NA,NA,NA,NA,"2hRQKC0gqlZGPrmUKbcchR"
"561","Shing02",43871,50,1,"ambeat",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0FB6beTn4vescDdnHeCUm9"
"562","SHISHAMO",338234,54,1,"j-pop","j-rock","japanese alternative rock",NA,NA,NA,NA,NA,NA,NA,"6MGHit7sV38BhpChZYByFv"
"563","Shofu",10370,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6Mt5Jv5qiHPyCmnaLbr6Rz"
"564","SIKK-O",344,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62x90xtztIeFjU7Z9eVKDR"
"565","Simon Phillips",292,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1OGCS507PQzgLappLg26AK"
"566","SIRUP",152435,57,1,"j-pop","japanese r&b","japanese soul",NA,NA,NA,NA,NA,NA,NA,"1HzcHe0WFm4koBalCEOkVh"
"567","Sister Nancy",83127,53,1,"dub","old school dancehall","reggae","roots reggae",NA,NA,NA,NA,NA,NA,"21pMSs2JHWwwy2kp1QIIVB"
"568","Skepta",869087,80,1,"birmingham grime","grime","instrumental grime","rap",NA,NA,NA,NA,NA,NA,"2p1fiYHYiXz9qi0JJyxBzN"
"569","Skylar Grey",433953,74,1,"piano rock","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,"4utLUGcTvOJFr6aqIJtYWV"
"570","Skyzoo",52266,42,1,"alternative hip hop","boom bap","hardcore hip hop","hip hop","soul flow",NA,NA,NA,NA,NA,"0qHfqHyHZnxvv1lfkJraQc"
"571","slowthai",294422,71,1,"hip hop","rap","uk alternative hip hop","uk hip hop",NA,NA,NA,NA,NA,NA,"3r1XkJ7vCs8kHBSzGvPLdP"
"572","Smokey & Miho",710,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4ugKaIEVH5GFg8H1mGAB0a"
"573","Snacky Chan",1818,27,1,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4UTKdKB32XqCsQGLjZEfmw"
