"","Artist","Followers","Popularity","num_songs","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","id"
"1","Kanye West",13153490,91,49,"chicago rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,"5K4W6rqBFWDnAN6FQUkS6x"
"2","f(x)",926798,57,33,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"3wRA5UYoo08BBKJnzyKkpF"
"3","BTS",27925885,96,31,"k-pop","k-pop boy group",NA,NA,NA,NA,NA,NA,NA,NA,"3Nrfpe0tUJi4K4DXYWgMUX"
"4","Yu Hayami",9144,38,27,"classic city pop","techno kayo",NA,NA,NA,NA,NA,NA,NA,NA,"1EgJAueSbwh56nECF6YQHX"
"5","BoA",552537,62,26,"j-idol","k-pop",NA,NA,NA,NA,NA,NA,NA,NA,"4muJrGMndyYWqZtfk8OWy4"
"6","Justin Timberlake",10200773,84,25,"dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,"31TPClRtHm23RisEBtV3X7"
"7","IU",3054871,75,23,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3HqSLMAZ3g3d5poNaI7GOU"
"8","Sakanaction",812474,61,23,"hokkaido indie","j-pop","j-poprock","j-rock","japanese electropop",NA,NA,NA,NA,NA,"0hCWVMGGQnRVfDgmhwLIxq"
"9","Kendrick Lamar",16299357,89,20,"conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,"2YZyLoL8N0Wb9xBt1NhZWg"
"10","Sheena Ringo",966241,61,20,"j-pop","j-rock",NA,NA,NA,NA,NA,NA,NA,NA,"2XjqKvB2Xz9IdyjWPIHaXi"
"11","Red Velvet",4667539,77,19,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"1z4g3DjTBBZKhvAroFlhOM"
"12","Drake",52258047,97,18,"canadian hip hop","canadian pop","hip hop","pop rap","rap","toronto rap",NA,NA,NA,NA,"3TVXtAsR1Inumwj472S9r4"
"13","Madonna",4715340,80,18,"dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,"6tbjWDEIzxoDsBA1FuhfPW"
"14","Paloalto",20191,53,17,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2Yv0nlRtzgPl6u0dsS2hFv"
"15","YELLOW MAGIC ORCHESTRA",163724,50,17,"classic j-rock","electro","proto-techno","shibuya-kei","techno kayo","zolo",NA,NA,NA,NA,"2JIf5JxI3ypOSfrfNIIMQE"
"16","Lady Gaga",15779665,89,16,"dance pop","pop","pop dance",NA,NA,NA,NA,NA,NA,NA,"1HY2Jd0NmPuamShAr6KMms"
"17","Royce Da 5'9""",546654,69,16,"alternative hip hop","detroit hip hop","gangster rap","hardcore hip hop","hip hop","pop rap","rap","southern hip hop",NA,NA,"6DVipHzYsPlIoA0DW8Gmns"
"18","Wink",47666,46,14,"classic city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"43sb4bVUPB5mWHAsm9bdT5"
"19","Gwen Stefani",4409805,78,13,"dance pop","europop","hip pop","pop","pop dance","pop rock","post-teen pop","urban contemporary",NA,NA,"4yiQZ8tQPux8cPriYMWUFP"
"20","Hikaru Utada",1806910,66,13,"classic j-pop","j-pop","japanese singer-songwriter",NA,NA,NA,NA,NA,NA,NA,"7lbSsjYACZHn1MSDXPxNF2"
"21","Ariana Grande",56649772,98,12,"dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,"66CXWjxzNUsdJxJ2JdwvnR"
"22","Eminem",41044459,94,12,"detroit hip hop","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,"7dGJo4pcD2V6oG8kP0tJRR"
"23","CAPSULE",60935,41,11,"j-dance","japanese electropop","shibuya-kei",NA,NA,NA,NA,NA,NA,NA,"61KJdJU38zrAW4c3PI9C9N"
"24","EXO",7173711,76,11,"k-pop","k-pop boy group",NA,NA,NA,NA,NA,NA,NA,NA,"3cjEqqelV9zb4BYE3qDQ4O"
"25","Hopsin",1800697,68,11,"conscious hip hop","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,"7EWU4FhUJM1sZQgQKdENeT"
"26","Mondo Grosso",84429,47,11,"japanese jazztronica","shibuya-kei",NA,NA,NA,NA,NA,NA,NA,NA,"4d2zOuYJHBPJTpVblHEKJb"
"27","ONEPIXCEL",6695,29,11,"idol rock","j-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"3REyUkjK0a9iovtPazhQvD"
"28","Tech N9ne",1869368,75,11,"hip hop","kansas city hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,"6UBA15slIuadJ8h2lPRPos"
"29","TeddyLoid",55394,54,11,"otacore",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3GfNJrDTZY7voXPDx8gH9I"
"30","TWICE",7744081,85,11,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"7n2Ycct7Beij7Dj7meI4X0"
"31","BLACKPINK",18480414,89,10,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"41MozSoPIsD1dJM0CLPjZF"
"32","Gorillaz",6445176,82,10,"alternative hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3AA28KZvwAUcZuOKwyblJQ"
"33","Gotan Project",277235,55,10,"electronica","jazztronica","neotango","nu jazz","world",NA,NA,NA,NA,NA,"44ejFPE33H5aOInxNV2BFP"
"34","Hiromi Iwasaki",45380,45,10,"classic city pop","kayokyoku",NA,NA,NA,NA,NA,NA,NA,NA,"7ef2Bdyd1lXJmutAbN4ZyO"
"35","Izumi Makura",25879,37,10,"japanese chill rap","kyushu indie",NA,NA,NA,NA,NA,NA,NA,NA,"012ldd58H1N5UZLxjMzV29"
"36","Namie Amuro",807452,63,10,"classic j-pop","j-pop","okinawan pop",NA,NA,NA,NA,NA,NA,NA,"4BmWSGKG6HiYvLuJvZ9afa"
"37","Nicki Minaj",20104749,90,10,"dance pop","hip pop","pop","pop dance","pop rap","post-teen pop","queens hip hop",NA,NA,NA,"0hCNtLu0JehylgoiP8L4Gh"
"38","Rich Brian",1712760,73,10,"indonesian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2IDLDx25HU1nQMKde4n61a"
"39","Swervy",7838,41,10,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0YE7929Kw8hXmap9LKxUiC"
"40","Britney Spears",8392030,83,9,"dance pop","pop","pop dance","pop rap","post-teen pop",NA,NA,NA,NA,NA,"26dSoYclwsYLMAKD3tpOr4"
"41","Kim Wan-sun",1287,21,9,"classic korean pop","korean city pop",NA,NA,NA,NA,NA,NA,NA,NA,"3e0aTvNjIG93ye2YlL90UF"
"42","NEW SCHOOL LEADERS",9547,36,9,"idol rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4OfU76YhPU04wlmbVFFgTJ"
"43","Rihanna",40797051,91,9,"barbadian pop","dance pop","pop","pop dance","post-teen pop","r&b","urban contemporary",NA,NA,NA,"5pKCCKE2ajJHZ9KAiaK11H"
"44","youra",9863,50,9,"k-indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5q9adPv91NFr8q2ZcKmX0V"
"45","YUKIKA",35869,48,9,"k-indie","korean city pop",NA,NA,NA,NA,NA,NA,NA,NA,"4RfI1z9u2xIc5Qnqac4JbO"
"46","Capcom Sound Team",98889,59,8,"anime score","japanese vgm","sound team",NA,NA,NA,NA,NA,NA,NA,"3w1Q754jb31h5CXQCcnLNL"
"47","HUS",11263,29,8,"k-indie","korean city pop",NA,NA,NA,NA,NA,NA,NA,NA,"23m7tUHLULVyBAAIYHbsgT"
"48","JUSTHIS",25084,55,8,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0Ch0t9gI47Lkal71uQnmV3"
"49","Kiyotaka Sugiyama",30371,53,8,"classic city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5Zc8dRhik5WK1nxjzcqwfC"
"50","Michael Jackson",17181532,85,8,"pop","r&b","soul",NA,NA,NA,NA,NA,NA,NA,"3fMbdgg4jU18AjLCKBhRSm"
"51","No Buses",44892,46,8,"j-indie","japanese garage rock",NA,NA,NA,NA,NA,NA,NA,NA,"5Tj6sv1bYiB4PqvvXcTSr6"
"52","Orange Caramel",226689,46,8,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"2QHTtUsN6Q13w3QHdfRqsK"
"53","Pink Martini",279720,62,8,"adult standards","lounge","vocal jazz",NA,NA,NA,NA,NA,NA,NA,"6KyUat70qaniuiZq63HzFZ"
"54","Qwala",1475,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2zb68oKonEt9aaoBO0TZP8"
"55","Reol",178060,65,8,"anime rock","japanese electropop","otacore",NA,NA,NA,NA,NA,NA,NA,"7rpKUJ0AnklJ8q9nIPVSpZ"
"56","Rina Sawayama",409359,69,8,"art pop","dance pop","electropop","escape room","pop","pop dance",NA,NA,NA,NA,"2KEqzdPS7M5YwGmiuPTdr5"
"57","S. Kiyotaka & Omega Tribe",25463,53,8,"classic city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7bG2PIfT22HGxisl6LAohx"
"58","Sade",2255601,73,8,"british soul","neo soul","sophisti-pop",NA,NA,NA,NA,NA,NA,NA,"47zz7sob9NUcODy0BTDvKx"
"59","Saori Yuki",11708,43,8,"kayokyoku",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4xMe6s0HgL2CSpUpJO5bd6"
"60","Satellite Young",7316,28,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6zV5EDvJzqY6i7ixlEKSvU"
"61","SUNMI",1960859,65,8,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6MoXcK2GyGg7FIyxPU5yW6"
"62","<U+6C60><U+7530><U+5178><U+4EE3>",1386,21,7,"classic city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5FlsplkyPTzOB2aWgz2X1M"
"63","A Tribe Called Quest",1374944,70,7,"alternative hip hop","conscious hip hop","east coast hip hop","gangster rap","hardcore hip hop","hip hop","jazz rap","queens hip hop","rap",NA,"09hVIj6vWgoCDtT03h8ZCa"
"64","Bajune Tobeta",816,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1fAAIQj0OEjNlUeGTW26W7"
"65","Cibo Matto",56601,41,7,"shibuya-kei","trip hop",NA,NA,NA,NA,NA,NA,NA,NA,"2te8VJxgUxcElC8Uq6eJs6"
"66","Hideyuki Fukasawa",784,38,7,"japanese vgm","sound team",NA,NA,NA,NA,NA,NA,NA,NA,"3cDGDsZOLwD5aBLoX0GICu"
"67","LEEBADA",35667,44,7,"k-indie","korean r&b",NA,NA,NA,NA,NA,NA,NA,NA,"17vCFclNbTzsDfPgsaWaQO"
"68","School Food Punishment",23093,31,7,"j-poprock","japanese post-rock",NA,NA,NA,NA,NA,NA,NA,NA,"3xMxj310bLRnpvtcNPU92a"
"69","SUPER JUNIOR",1882975,66,7,"k-pop","k-pop boy group","korean pop",NA,NA,NA,NA,NA,NA,NA,"6gzXCdfYfFe5XKhPKkYqxV"
"70","1986 Omega Tribe",20595,45,6,"classic city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0ECegKslGWO6zz3XzTyIwQ"
"71","Jvcki Wai",49852,49,6,"k-rap","korean r&b",NA,NA,NA,NA,NA,NA,NA,NA,"4bjcB3ZKiHgPzJvY2S2FLN"
"72","Natsu Summer",3553,26,6,"city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4l3pCmSMjqdSkhWUZp6jCD"
"73","Soutaiseiriron",130837,48,6,"j-rock","japanese alternative rock","japanese indie pop","shibuya-kei",NA,NA,NA,NA,NA,NA,"1bj13qFAwnyM3ILOiFnn1Y"
"74","YESEO",28278,34,6,"k-indie","korean electropop","korean r&b",NA,NA,NA,NA,NA,NA,NA,"3ZjoQ5yuRyPhZSIw5nCVBb"
"75","(G)I-DLE",2171326,79,5,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"2AfmfGFbe0A0WsTYm0SDTx"
"76","Akina Nakamori",191047,53,5,"j-pop","japanese new wave","kayokyoku","techno kayo",NA,NA,NA,NA,NA,NA,"7140bcJ0ZySe314nUfOo1J"
"77","D12",1656579,67,5,"detroit hip hop","gangster rap","hardcore hip hop","hip hop","pop rap","rap","rap rock",NA,NA,NA,"5Qi4Bb7a8C0a00NZcA77L0"
"78","Danny Brown",581082,64,5,"alternative hip hop","detroit hip hop","escape room","hip hop","rap","underground hip hop",NA,NA,NA,NA,"7aA592KWirLsnfb5ulGWvU"
"79","DAOKO",254527,62,5,"anime","j-pixie","japanese electropop",NA,NA,NA,NA,NA,NA,NA,"5Qeyh2XKoITt1mlEVtzazC"
"80","frederic",208982,55,5,"j-pop","j-poprock","j-rock",NA,NA,NA,NA,NA,NA,NA,"3srPc1Mytv5GmTWqsQuoXW"
"81","Haruomi Hosono",116341,50,5,"classic j-rock","fourth world","japanese folk","japanese psychedelic","japanese singer-songwriter","japanese soundtrack","proto-techno","shibuya-kei",NA,NA,"370nbSkMB9kDWyTypwWYak"
"82","JAY-Z",5903549,86,5,"east coast hip hop","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,"3nFkdlSjzX9mRTtwJOzDYB"
"83","Little Simz",296880,60,5,"escape room","indie soul","trap queen","uk alternative hip hop",NA,NA,NA,NA,NA,NA,"6eXZu6O7nAUA5z6vLV8NKI"
"84","Luli Lee",8268,31,5,"k-indie","korean city pop",NA,NA,NA,NA,NA,NA,NA,NA,"3h4p2PKHb9JejBCHmWlthK"
"85","Lupe Fiasco",1524214,70,5,"alternative hip hop","chicago rap","conscious hip hop","gangster rap","hip hop","political hip hop","pop rap","rap","southern hip hop",NA,"01QTIT5P1pFP3QnnFSdsJf"
"86","Monari Wakita",3109,16,5,"city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2bE5hvtCWXT5F30rcbPI5u"
"87","Nucksal",17746,50,5,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6v5cGuRCZKq08nLI4WXJuB"
"88","OOHYO",79514,50,5,"k-indie","korean electropop","korean pop",NA,NA,NA,NA,NA,NA,NA,"50Zu2bK9y5UAtD0jcqk5VX"
"89","POLKADOT STINGRAY",232206,59,5,"anime rock","j-pixie","j-pop","j-rock","japanese alternative rock","kyushu indie",NA,NA,NA,NA,"5zV9afUO4DVqJeRaZvfNev"
"90","Run The Jewels",856535,71,5,"hip hop","political hip hop",NA,NA,NA,NA,NA,NA,NA,NA,"4RnBFZRiMLRyZy0AzzTg2C"
"91","SOMA",2315,28,5,"korean r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2YZhod6BAbnBKh2nPdUejY"
"92","<U+30A2><U+30C8><U+30E9><U+30B9><U+30B5><U+30A6><U+30F3><U+30C9><U+30C1><U+30FC><U+30E0>",44230,68,4,"japanese vgm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4hFBhdNVZZuVk5FYThUwaN"
"93","<U+7530><U+6751><U+82BD><U+5B9F>",3611,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1kzM8g2NVR1BAA2xuyFvQz"
"94","Alter Bridge",807067,65,4,"alternative metal","nu metal","post-grunge","rock",NA,NA,NA,NA,NA,NA,"4DWX7u8BV0vZIQSpJQQDWU"
"95","BIBI",104002,62,4,"k-pop","korean r&b",NA,NA,NA,NA,NA,NA,NA,NA,"6UbmqUEgjLA6jAcXwbM1Z9"
"96","Chambao",280584,51,4,"flamenco","rumba","spanish pop",NA,NA,NA,NA,NA,NA,NA,"2qhLqZ1pkiUl5HNrU2Nz0R"
"97","Copywrite",11057,30,4,"abstract hip hop","ohio hip hop","underground rap",NA,NA,NA,NA,NA,NA,NA,"05YQdfjpG35u5fmVn7Y0sc"
"98","El-P",129461,47,4,"abstract hip hop","alternative hip hop","east coast hip hop","experimental hip hop","turntablism",NA,NA,NA,NA,NA,"57UnSUpae3SbRekxNa5Kgl"
"99","Gesu No Kiwami Otome",286053,54,4,"j-pop","j-rock",NA,NA,NA,NA,NA,NA,NA,NA,"1ieluXFoq2RRxMXZIQksTz"
"100","Huckleberry P",5496,36,4,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4meeMnr8eLacsB31ApsXZS"
"101","HyunA",1163048,58,4,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3UwlejyX2b458azZ7eCnHb"
"102","Lil Wayne",10011524,90,4,"hip hop","new orleans rap","pop rap","rap","trap",NA,NA,NA,NA,NA,"55Aa2cqylxrFIXC767Z865"
"103","MHz",1412,8,4,"ohio hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6Us0gGqIRKYghX6OGEVGs2"
"104","Nelly Furtado",2348608,77,4,"canadian latin","canadian pop","dance pop","pop","pop dance","pop rap",NA,NA,NA,NA,"2jw70GZXlAI8QzWeY2bgRc"
"105","Poppy",778307,66,4,"dance pop","electropop","escape room","modern rock","pop",NA,NA,NA,NA,NA,"5mlbvTfWUOfDrUIK6dkNzv"
"106","Raina",2968,32,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2lkUAt5tu0ucVOMFT9hYtg"
"107","Rainbow note",4812,28,4,"korean city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5qgNxAqFqHpGVqZQHvrm17"
"108","Rammstein",5426228,80,4,"alternative metal","german metal","industrial","industrial metal","industrial rock","neue deutsche harte","nu metal",NA,NA,NA,"6wWVKhxIU2cEi0K81v7HvP"
"109","RZA",343965,60,4,"alternative hip hop","east coast hip hop","hardcore hip hop","hip hop",NA,NA,NA,NA,NA,NA,"4iCwCMnqsNZ6atvRiADgtn"
"110","Talking Heads",1476706,72,4,"art punk","art rock","dance rock","funk rock","new wave","permanent wave","post-punk","rock","zolo",NA,"2x9SpqnPi8rlE9pjHBwmSC"
"111","YAKUSHIMARU Etsuko",66418,42,4,"denpa-kei",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6h32A03szyWpPmQCZSJ4Mi"
"112","YooA",31217,50,4,"k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4ur1jCwyNlhgd0viJkOtcQ"
"113","Yung Bae",130491,64,4,"future funk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30FDJPN3RtwJZ20g5YGCRX"
"114","Akon",2588161,82,3,"dance pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0z4gvV4rjIZ9wHck67ucSV"
"115","AOA",576033,56,3,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"54gWVQFHf8IIqbjxAoOarN"
"116","Asako Toki",54704,48,3,"japanese jazz fusion","japanese r&b","shibuya-kei",NA,NA,NA,NA,NA,NA,NA,"4VIGlACQnSacU0b1HTLA7y"
"117","Beyoncé",25850873,88,3,"dance pop","pop","pop dance","post-teen pop","r&b",NA,NA,NA,NA,NA,"6vWDO969PvNqNYHIOW5v0m"
"118","Busdriver",74089,47,3,"abstract hip hop","alternative hip hop",NA,NA,NA,NA,NA,NA,NA,NA,"43SXnO2N4X024u3l9MfvXD"
"119","Carpenter Brut",275096,62,3,"cyberpunk","darksynth","synthwave",NA,NA,NA,NA,NA,NA,NA,"1l2oLiukA9i5jEtIyNWIEP"
"120","Far East Movement",1002665,69,3,"asian american hip hop","dance pop","edm","pop","pop dance","pop rap","post-teen pop",NA,NA,NA,"698hF4vcwHwPy8ltmXermq"
"121","H ZETTRIO",40928,45,3,"japanese jazz","japanese jazz fusion",NA,NA,NA,NA,NA,NA,NA,NA,"5Ga4ie7tlXW9Fc6ObLbSCY"
"122","Hash Swan",53734,49,3,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3yVEZNS0ateVfoj8FuazKg"
"123","HEIZE",608940,66,3,"k-pop","korean pop","korean r&b",NA,NA,NA,NA,NA,NA,NA,"5dCvSnVduaFleCnyy98JMo"
"124","Junko Ohashi",41463,52,3,"classic city pop","kayokyoku",NA,NA,NA,NA,NA,NA,NA,NA,"7rGbODPTIVjzn3CTR6RCzE"
"125","Keiichi Okabe",9627,55,3,"anime score","japanese vgm",NA,NA,NA,NA,NA,NA,NA,NA,"0fj8MsM0gSugGUVd9RGV06"
"126","Kid Cudi",4511360,89,3,"hip hop","ohio hip hop","rap",NA,NA,NA,NA,NA,NA,NA,"0fA0VVWsXO9YnASrzqfmYu"
"127","King Gnu",1537277,72,3,"j-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6wxfx1yhyqjCPYwwxJktR2"
"128","Kohmi Hirose",106766,50,3,"classic j-pop","j-pop","japanese singer-songwriter",NA,NA,NA,NA,NA,NA,NA,"0jMZY406RfgjK6PFKIRfAv"
"129","Krizz Kaliko",268448,65,3,"country rap","kansas city hip hop","rap rock","southern hip hop",NA,NA,NA,NA,NA,NA,"3SEJQy90Vgg1aSnZ9b4AU9"
"130","KXNG Crooked",66546,61,3,"cali rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6fFfnKGVI6X3lkCr8Qw1g1"
"131","LADIES' CODE",90196,41,3,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"4epPY1AW9lQeVUM1XaFiwi"
"132","LOONA",1040182,71,3,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"52zMTJCKluDlFwMQWmccY7"
"133","Missy Elliott",1540958,75,3,"dance pop","hip hop","hip pop","pop","pop rap","r&b","urban contemporary","virginia hip hop",NA,NA,"2wIVse2owClT7go1WT98tk"
"134","nica",615,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58R91elnUAarOAhU4lY7VH"
"135","Otoboke Beaver",42956,40,3,"j-punk","japanese girl punk","japanese pop punk","japanese punk rock",NA,NA,NA,NA,NA,NA,"0HutkALC7kq2L8b9bnZUkq"
"136","RM",4468023,69,3,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2auC28zjQyVTsiZKNgPRGs"
"137","SEAPOOL",1820,13,3,"japanese indie rock","kansai indie",NA,NA,NA,NA,NA,NA,NA,NA,"0iuh3bi0fF2wlYvZG01vZn"
"138","Shizuka Kudo",64864,47,3,"classic j-pop","j-pop",NA,NA,NA,NA,NA,NA,NA,NA,"7sU5H7XSVz0GC1RyM7jY2W"
"139","Tage",131,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00YrqcA1jmgdArw3G7MY8x"
"140","Timbaland",1842413,79,3,"dance pop","hip hop","hip pop","pop","pop dance","pop rap","urban contemporary",NA,NA,NA,"5Y5TRrQiqgUO4S36tzjIRZ"
"141","Tokyo Girls' Style",18490,27,3,"alt-idol","idol rock","j-idol","j-pop girl group",NA,NA,NA,NA,NA,NA,"2mUoXdIOsE0kFnXdNzS3wx"
"142","Yuri Tanaka",6697,40,3,"classic city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2SdovVmFnr5G1SlQzG5Hp0"
"143","ZICO",861738,69,3,"k-pop","k-rap","korean pop","korean r&b",NA,NA,NA,NA,NA,NA,"4XpUIb8uuNlIWVKmgKZXC0"
"144","<U+AC15><U+C218><U+C9C0>",539,22,2,"classic korean pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6yvfQfQ8CS9aXvGlyHEdoi"
"145","2 Chainz",6065864,83,2,"atl hip hop","gangster rap","hip hop","pop rap","rap","southern hip hop","trap",NA,NA,NA,"17lzZA2AlOHwCwFALHttmp"
"146","2NE1",1716582,62,2,"dance pop","k-pop","k-pop girl group","pop dance",NA,NA,NA,NA,NA,NA,"1l0mKo96Jh9HVYONcRl3Yp"
"147","A crow is white",22164,34,2,"denpa-kei","japanese indie pop",NA,NA,NA,NA,NA,NA,NA,NA,"6Ihais1Q3Uht375CjQqeSR"
"148","ACO",19510,32,2,"shibuya-kei",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1G29J8b3UnUFUilGCbUlXf"
"149","Ai Haruna",118,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72xYcNsQtz46g9FdguuYUD"
"150","Aseul",13202,31,2,"k-indie","korean dream pop","korean electropop",NA,NA,NA,NA,NA,NA,NA,"7K1yj70w0ldP7bMDqiiHMo"
"151","Astro Chillberto",2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6bBZs4k8Hp7QKyFwzePMBJ"
"152","B-Free",14141,34,2,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5xHC23kCM6goKp7bDDXE3T"
"153","Bad Meets Evil",1122980,64,2,"detroit hip hop","gangster rap","hip hop","pop rap","rap",NA,NA,NA,NA,NA,"77IURH5NC56Jn09QHi76is"
"154","Big Sean",8069688,86,2,"detroit hip hop","hip hop","pop rap","rap","southern hip hop","trap",NA,NA,NA,NA,"0c173mlxpT3dSFRgMO8XPh"
"155","Black Eyed Peas",5235725,86,2,"dance pop","pop","pop dance","pop rap",NA,NA,NA,NA,NA,NA,"1yxSLGMDHlW21z4YXirZDS"
"156","Bon Iver",2878916,81,2,"eau claire indie","indie folk","melancholia",NA,NA,NA,NA,NA,NA,NA,"4LEiUm1SRbFMgfqnQTwUbQ"
"157","Bronze",2272,37,2,"k-indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4YJiSEvipvRRttmmpvT3U7"
"158","Chitose Hajime",38032,35,2,"okinawan folk","okinawan pop","ryukyu ongaku",NA,NA,NA,NA,NA,NA,NA,"0ii3SuIwfRs4pRH2sQ1J0U"
"159","Chris Brown",12984890,90,2,"dance pop","pop","pop rap","r&b","rap",NA,NA,NA,NA,NA,"7bXgB6jMjp9ATFy66eO08Z"
"160","Ciara",4768546,74,2,"dance pop","hip pop","pop","post-teen pop","r&b","urban contemporary",NA,NA,NA,NA,"2NdeV5rLm47xAvogXrYhJX"
"161","clipping.",164623,56,2,"alternative hip hop","escape room","experimental hip hop","industrial hip hop",NA,NA,NA,NA,NA,NA,"5HJ2kX5UTwN4Ns8fB5Rn1I"
"162","Conway the Machine",103716,63,2,"alternative hip hop","boom bap","buffalo hip hop","hip hop","underground hip hop",NA,NA,NA,NA,NA,"67gqUXxHedeUGDTxwBzdjS"
"163","D-Styles",5087,39,2,"scratch","turntablism",NA,NA,NA,NA,NA,NA,NA,NA,"0Xqx5Wr906GcxJnRNOCPSr"
"164","Damian Marley",1158491,70,2,"modern reggae","reggae","reggae fusion",NA,NA,NA,NA,NA,NA,NA,"3QJzdZJYIAcoET1GcfpNGi"
"165","DREAMS COME TRUE",978139,60,2,"classic j-pop","j-pop",NA,NA,NA,NA,NA,NA,NA,NA,"2mJOGcLR3aCHkM1uAF93or"
"166","EXID",1208744,59,2,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"1xs6WFotNQSXweo0GXrS0O"
"167","Eyedi",46809,38,2,"k-indie","korean r&b",NA,NA,NA,NA,NA,NA,NA,NA,"48BSHaU3lXnM3pYHyeqLXN"
"168","Frasco",5460,27,2,"japanese electropop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2zDndG5Mv76XtMDZ4M6HGh"
"169","Fujifabric",216764,51,2,"j-pop","j-poprock","j-rock","japanese alternative rock",NA,NA,NA,NA,NA,NA,"2QgdUzpKFNxey5IuwvsGBL"
"170","G2",17304,45,2,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4ueZwsEtcqcO0IZywqgk66"
"171","Gotye",2231146,71,2,"australian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2AsusXITU8P25dlRNhcAbG"
"172","HELLOVENUS",169544,40,2,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"3TW9U1f93tpGBsEtCSf7JG"
