track.name,Album_Artist1,Album_Artist2,Album_Artist3,track.duration_ms,track.explicit,track.id,track.popularity,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Track_Artist1,Track_Artist2,Track_Artist3,Track_Artist4,Track_Artist5,Track_Artist6,Track_Artist7,Track_Artist8
1AM 새벽 한 시,Casker,NA,NA,259196,FALSE,5kxFmqWNGEiHfUxdlt9mRD,15,2W4RwbxG9DWa5Y18Fve6Ie,1AM 새벽 한 시,2018-01-27,day,0.647,0.335,3,-9.699,0,0.0382,0.682,2.57e-4,0.108,0.644,180.234,4,Casker,NA,NA,NA,NA,NA,NA,NA
W U H A N,ぬいぐるみクレヨン Lush Crayon,NA,NA,112278,FALSE,0Cqo3oUVrNVDOMTZFv83uY,33,36TxAJXg1qqM2ALaO9FJjz,CoronaWave: コロナウイルス,2020-03-18,day,0.403,0.893,6,-7.331,0,0.141,0.0415,0.0342,0.501,0.615,89.525,4,ぬいぐるみクレヨン Lush Crayon,NA,NA,NA,NA,NA,NA,NA
Blacklist (Feat. LE),HyunA,NA,NA,209737,FALSE,4FNEiAZkTqkdCgcUtBVu9E,37,78Ei6os3WDar0sgVlGz0yJ,A Talk,2014-07-28,day,0.815,0.85,7,-3.595,1,0.0897,0.00749,0,0.324,0.704,104.994,4,HyunA,LE,NA,NA,NA,NA,NA,NA
Red,HyunA,NA,NA,199888,FALSE,1kPJiJ3N8cuw5Kzev8Ilu0,54,78Ei6os3WDar0sgVlGz0yJ,A Talk,2014-07-28,day,0.586,0.916,9,-1.83,1,0.0712,0.0027,0,0.402,0.537,163.787,4,HyunA,NA,NA,NA,NA,NA,NA,NA
Change (Feat. Jun Hyung Yong From BEAST),HyunA,NA,NA,211333,FALSE,6kFDvPj3FVpQ90HZ5PacxE,42,0qtB7YKqjdu1F9uwKgE29L,Change,2010-01-04,day,0.874,0.79,1,-4.376,1,0.0521,0.0124,0,0.11,0.623,125.029,4,HyunA,Jun Hyung Yong From BEAST,NA,NA,NA,NA,NA,NA
SICKO MODE,Travis Scott,NA,NA,312820,TRUE,2xLMifQCjDGFmkHkpNLD9h,85,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,day,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4,Travis Scott,NA,NA,NA,NA,NA,NA,NA
"Party, Feel, Love (Feat. DAWN)",HyunA,NA,NA,209560,FALSE,2qR6lpnGS9AldPdElbzJ53,51,3aqj5OK6GGIZ1Bejw7g0JW,I’m Not Cool,2021-01-28,day,0.776,0.46,5,-6.504,0,0.327,0.432,7.96e-6,0.154,0.325,140.011,4,HyunA,DAWN,NA,NA,NA,NA,NA,NA
GOOD GIRL,HyunA,NA,NA,185400,FALSE,5iMcihnPLMICfFhg3H694w,52,3aqj5OK6GGIZ1Bejw7g0JW,I’m Not Cool,2021-01-28,day,0.812,0.868,0,-3.483,1,0.194,0.00854,5.19e-5,0.0569,0.756,117.97,4,HyunA,NA,NA,NA,NA,NA,NA,NA
I'm Not Cool,HyunA,NA,NA,174173,FALSE,7xTOqnsOV6qHBPWoCWpzGM,63,3aqj5OK6GGIZ1Bejw7g0JW,I’m Not Cool,2021-01-28,day,0.883,0.845,11,-2.069,1,0.0585,0.0161,0.00157,0.29,0.656,116.004,4,HyunA,NA,NA,NA,NA,NA,NA,NA
JUMPER,CAPSULE,NA,NA,415946,FALSE,45hgtWOyLVz3OhCh5r34cs,26,7uNyQd3LR7HKGPgaQVMQ0b,MORE! MORE! MORE!,2008-11-19,day,0.546,0.913,1,-2.372,1,0.0772,0.0292,1.26e-5,0.306,0.547,130.011,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
PRIME TIME,CAPSULE,NA,NA,342986,FALSE,38Alm1KhhG02tEivIa5OsY,11,34MCLe0NFSmsmUPiIyZjS7,WORLD OF FANTASY,2011-05-25,day,0.634,0.962,5,-1.885,0,0.0783,4.32e-4,1.65e-4,0.299,0.451,127.955,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
I CANT SAY I LIKE YOU,CAPSULE,NA,NA,217946,FALSE,5KCj0CljmfY3fGjPaIiJge,5,34MCLe0NFSmsmUPiIyZjS7,WORLD OF FANTASY,2011-05-25,day,0.797,0.963,6,-1.739,1,0.0689,8.03e-4,0.768,0.0491,0.582,127.988,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
I WILL,CAPSULE,NA,NA,337826,FALSE,3TRkR14Vm36koMJJUw6Gzg,6,34MCLe0NFSmsmUPiIyZjS7,WORLD OF FANTASY,2011-05-25,day,0.661,0.961,6,-1.617,1,0.0441,0.0273,0.228,0.123,0.124,127.991,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
WORLD OF FANTASY,CAPSULE,NA,NA,371200,FALSE,0tuYwPS2uGZjaePLMI3JQr,12,34MCLe0NFSmsmUPiIyZjS7,WORLD OF FANTASY,2011-05-25,day,0.564,0.994,11,-0.943,1,0.0614,0.00711,0.493,0.145,0.187,128.009,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
Night Running (Feat. John Park),youra,NA,NA,240315,FALSE,2LYxkc8JPY6zrelYGnBI1p,27,6h4kFvqwwvpMqrqfoeRknh,dot,2020-02-23,day,0.785,0.585,1,-7.115,1,0.038,0.0692,0.00119,0.392,0.463,89.986,4,youra,John Park,NA,NA,NA,NA,NA,NA
More (Feat. Giriboy),youra,NA,NA,174691,FALSE,5jJwjg6uSHLiEm6Qly9Yhg,24,6h4kFvqwwvpMqrqfoeRknh,dot,2020-02-23,day,0.798,0.531,2,-5.054,1,0.0541,0.0146,3.05e-6,0.116,0.55,117.968,4,youra,GIRIBOY,NA,NA,NA,NA,NA,NA
Player,CAPSULE,NA,NA,450440,FALSE,4d2oQppedfGWeokTrmPofi,9,0cuYDX4CorPYfFTvzgQwG8,PLAYER,2010-03-03,day,0.737,0.979,6,-2.187,1,0.0875,0.155,0.0155,0.124,0.736,130.004,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
Love or Lies,CAPSULE,NA,NA,318826,FALSE,1BCnNFVPXk8PDfIFmkWnak,23,0cuYDX4CorPYfFTvzgQwG8,PLAYER,2010-03-03,day,0.657,0.945,1,-3.73,0,0.0444,0.0148,0.0586,0.351,0.705,127.987,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
What do you want to do,CAPSULE,NA,NA,323893,FALSE,03tKRbNpIgWajigrklTFf8,6,0cuYDX4CorPYfFTvzgQwG8,PLAYER,2010-03-03,day,0.742,0.796,0,-3.342,0,0.095,7.04e-4,0.302,0.0483,0.508,132.038,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
Factory,CAPSULE,NA,NA,453306,FALSE,5KMj6OKQDqSpB7HBWdI3Oa,6,0cuYDX4CorPYfFTvzgQwG8,PLAYER,2010-03-03,day,0.716,0.996,5,-2.991,0,0.0346,4.48e-5,0.755,0.103,0.573,128.011,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
The Music,CAPSULE,NA,NA,455946,FALSE,0hSJO9iQQx7cpXNYvNC1YA,15,0cuYDX4CorPYfFTvzgQwG8,PLAYER,2010-03-03,day,0.562,0.823,3,-1.798,0,0.0396,0.0223,1.25e-4,0.113,0.598,132.016,4,CAPSULE,NA,NA,NA,NA,NA,NA,NA
Fill Me Up 구멍,Aseul,NA,NA,246965,FALSE,6v8rnBoFFArfuhgt2J3N3V,10,5yelKszL9elK9CT0L54TC4,Asobi,2018-07-28,day,0.687,0.57,0,-8.761,1,0.0323,0.0471,0.297,0.106,0.498,100.023,4,Aseul,NA,NA,NA,NA,NA,NA,NA
positions,Ariana Grande,NA,NA,172324,TRUE,35mvY5S1H3J2QZyna3TFe0,94,3euz4vS7ezKGnNSwgyvKcd,Positions,2020-10-30,day,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,4,Ariana Grande,NA,NA,NA,NA,NA,NA,NA
Dwutakt,Alberto,OLEK,NA,144000,TRUE,2wMo0pUpFklPf5x47ZUR8I,66,1vJj0wEFs5A60TTXWyXgdl,Dwutakt,2020-10-07,day,0.481,0.58,5,-8.662,0,0.407,0.0848,2.47e-4,0.128,0.527,93.195,4,Alberto,OLEK,NA,NA,NA,NA,NA,NA
YESSIR!,Rarin,NA,NA,110344,FALSE,2exdDhuNjyxtmJIKkbSWbo,71,5tw4tHdOVaj4dZwXr8Zrke,YESSIR!,2020-11-06,day,0.769,0.612,2,-6.727,1,0.343,0.0777,0,0.0953,0.394,174.135,4,Rarin,NA,NA,NA,NA,NA,NA,NA
NU ABO,f(x),NA,NA,224333,FALSE,1NcsCToPRUh9AI6ua83jAm,45,2jwIyBUS9C4yGgr1Guq8YO,NU ABO,2010-05-04,day,0.703,0.773,10,-3.529,0,0.0629,0.0186,0,0.279,0.392,95.007,4,f(x),NA,NA,NA,NA,NA,NA,NA
unlucky,IU,NA,NA,231133,FALSE,1jsY6pQeNaEConZWGau1L4,54,2xEH7SRzJq7LgA0fCtTlxH,Love poem,2019-11-18,day,0.528,0.482,10,-3.689,1,0.0444,0.836,0,0.136,0.505,169.907,4,IU,NA,NA,NA,NA,NA,NA,NA
The visitor,IU,NA,NA,231186,FALSE,3TGNR8la5ydvd6PaXnEpzH,53,2xEH7SRzJq7LgA0fCtTlxH,Love poem,2019-11-18,day,0.504,0.31,9,-7.312,0,0.16,0.662,2.82e-6,0.173,0.331,186.952,3,IU,NA,NA,NA,NA,NA,NA,NA
Where My Money,"Royce Da 5'9""",NA,NA,192496,TRUE,4fIlW5kCBWWn79hEZYvVuB,15,70WLqb5SEBfo3IZl5hbvV0,Success is Certain,2011-08-09,day,0.553,0.979,7,0.619,1,0.257,0.154,9.15e-6,0.182,0.795,84.475,4,"Royce Da 5'9""",NA,NA,NA,NA,NA,NA,NA
Legendary,"Royce Da 5'9""",NA,NA,291422,TRUE,2z9FIaNYosQQX0tRwo3btD,32,70WLqb5SEBfo3IZl5hbvV0,Success is Certain,2011-08-09,day,0.089,0.991,0,-0.112,0,0.285,0.0729,0,0.0887,0.354,76.067,4,"Royce Da 5'9""",Travis Barker,NA,NA,NA,NA,NA,NA
ER,"Royce Da 5'9""",NA,NA,174576,TRUE,4dvNHt5dc3bOoiXKifDmX8,16,70WLqb5SEBfo3IZl5hbvV0,Success is Certain,2011-08-09,day,0.317,0.896,7,-3.428,1,0.376,0.00093000000000000005,0,0.286,0.535,159.962,4,"Royce Da 5'9""",Kid Vishis,NA,NA,NA,NA,NA,NA
Forever Young,BLACKPINK,NA,NA,237076,FALSE,56bHclo7YNvpujMveLElQn,68,2zwfcNqJe7IT1RwgVyv1ug,SQUARE UP,2018-06-15,day,0.6,0.96,4,-1.807,1,0.095,0.0426,0,0.0882,0.503,109.863,4,BLACKPINK,NA,NA,NA,NA,NA,NA,NA
DDU-DU DDU-DU,BLACKPINK,NA,NA,209355,FALSE,2aI2k39nfa3KFsa4JclQzw,75,2zwfcNqJe7IT1RwgVyv1ug,SQUARE UP,2018-06-15,day,0.671,0.859,4,-3.922,0,0.0833,0.0323,0,0.267,0.389,139.931,4,BLACKPINK,NA,NA,NA,NA,NA,NA,NA
See U Later,BLACKPINK,NA,NA,198866,FALSE,1ZPMLCzCwIvLbMFWvYiw4H,63,2zwfcNqJe7IT1RwgVyv1ug,SQUARE UP,2018-06-15,day,0.741,0.926,9,-3.968,0,0.112,0.0376,0,0.582,0.571,106.99,4,BLACKPINK,NA,NA,NA,NA,NA,NA,NA
Ice Ice,HyunA,NA,NA,196826,FALSE,142KEuaZKcjpSqYybDu68D,37,2lCP8HWiKphRT1pmtn0zYw,A+,2015-08-21,day,0.79,0.939,8,-3.359,0,0.12,0.0145,1.76e-5,0.296,0.715,99.992,4,HyunA,Ji Dam Yook,NA,NA,NA,NA,NA,NA
식구,G2,NA,NA,270413,TRUE,6rdrLDcmES9lAJmp057Plk,16,2Zm5NmpmuZqnNL2yAp8GGe,식구,2015-12-23,day,0.779,0.689,11,-6.293,0,0.292,0.0812,0,0.116,0.701,92.946,4,G2,B-Free,Okasian,Reddy,Huckleberry P,Paloalto,Sway D,DJ Djanga
Collard Greens,ScHoolboy Q,NA,NA,299960,TRUE,0zO8ctW0UiuOefR87OeJOZ,71,7Et3bSTLLqdABO1qCxUplS,Oxymoron (Deluxe),2014-01-01,day,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-6,0.205,0.65,153.954,4,ScHoolboy Q,Kendrick Lamar,NA,NA,NA,NA,NA,NA
HUMBLE.,Kendrick Lamar,NA,NA,177000,TRUE,7KXjTSCq5nL1LoYtL7XAwS,80,4eLPsYPBmXABThSJ821sqY,DAMN.,2017-04-14,day,0.908,0.621,1,-6.638,0,0.102,2.82e-4,5.39e-5,0.0958,0.421,150.011,4,Kendrick Lamar,NA,NA,NA,NA,NA,NA,NA
MWAH,HUS,NA,NA,188520,FALSE,2JWAFEozxgsofiv7yt90ta,3,1Frm6v6yNfkdoAK2RvEbiR,V,2019-12-15,day,0.827,0.641,5,-6.129,0,0.0434,0.365,0.0436,0.0954,0.935,94.987,4,HUS,NA,NA,NA,NA,NA,NA,NA
Buttons,The Pussycat Dolls,NA,NA,225560,FALSE,3BxWKCI06eQ5Od8TY2JBeA,63,5x8e8UcCeOgrOzSnDGuPye,PCD,2005-01-01,day,0.57,0.821,2,-4.38,1,0.267,0.178,0,0.289,0.408,210.857,4,The Pussycat Dolls,NA,NA,NA,NA,NA,NA,NA
Micro Summer,City Your City,Frasco,NA,228000,FALSE,4wx3aEyTdi7ZaEfSNVtpzg,31,3jGhWeZLyi27jbXz49d8A2,Micro Summer,2019-08-28,day,0.595,0.865,10,-4.729,0,0.0376,0.148,0.0154,0.116,0.826,166.014,4,City Your City,Frasco,NA,NA,NA,NA,NA,NA
ADHD,SOMA,NA,NA,223341,FALSE,117K6M0CebBAy0NMhXJcCC,3,1ddyxj0hlj8mUzDLHamdaW,SEIREN,2019-03-14,day,0.428,0.652,1,-8.076,0,0.285,0.242,0.0476,0.325,0.376,141.161,4,SOMA,NA,NA,NA,NA,NA,NA,NA
DUCK FACE (feat. Ugly Duck),SOMA,NA,NA,177000,FALSE,6gixjzq9jkAeacGmuXcIir,4,50p8PPPk9LDEsdeyE3OS0f,"Cigarettes, Talk",2018-11-30,day,0.725,0.907,0,-2.661,1,0.406,0.19,0,0.32,0.665,144.11,4,SOMA,Ugly Duck,NA,NA,NA,NA,NA,NA
Comb my body (feat. The Quiett),SOMA,NA,NA,181750,FALSE,3i9MBLQTL7kJRqq5ZE5tR0,19,50p8PPPk9LDEsdeyE3OS0f,"Cigarettes, Talk",2018-11-30,day,0.709,0.652,6,-5.909,0,0.0565,0.531,4.44e-5,0.0712,0.455,129.82,4,SOMA,The Quiett,NA,NA,NA,NA,NA,NA
8,SOMA,NA,NA,185750,FALSE,3Zcqu7FpNahmJo0slDrBdA,3,1ktogPv5Rjc60qe1CKIJUW,Kid's Dream,2018-09-21,day,0.791,0.725,0,-4.264,1,0.0975,0.114,0,0.0982,0.547,120.002,4,SOMA,NA,NA,NA,NA,NA,NA,NA
Almond Blossom,SOMA,NA,NA,240500,FALSE,4Keu7yA5H6MCtapkAkaUsE,15,6RbwFHGIf7E4RBlL1zFSaI,Spring Breeze,2018-04-13,day,0.785,0.521,3,-5.378,1,0.0819,0.321,0,0.146,0.415,130.049,4,SOMA,NA,NA,NA,NA,NA,NA,NA
My Hair Is Green,015B,youra,NA,194615,FALSE,7rBfLtQNXsZfKIDi6LmYYm,19,1pdTEE0qjeMPq6AORq2wQg,My Hair Is Green,2018-06-20,day,0.574,0.871,2,-4.66,0,0.185,0.275,5.27e-6,0.268,0.789,156.187,4,015B,youra,NA,NA,NA,NA,NA,NA
my,youra,NA,NA,196810,FALSE,0YVCOQpIDgnQPYfAlmolIa,39,4wtnHwmeN15GGKkKTYOo8V,my,2018-10-01,day,0.628,0.343,7,-7.571,0,0.034,0.567,0,0.0848,0.353,59.941,4,youra,NA,NA,NA,NA,NA,NA,NA
알면 다쳐,Lim Kim,NA,NA,182698,FALSE,314pkLbpF20GQxOv2AqQg2,19,7ln1B2ci776dstazeeP56S,미니 3집 Simple Mind,2015-04-27,day,0.868,0.831,8,-4.647,0,0.2,0.157,9.25e-6,0.177,0.832,144.966,4,Lim Kim,NA,NA,NA,NA,NA,NA,NA
TENNIS,OOHYO,NA,NA,274582,FALSE,3D2w1uW57boDEssh53zZWB,34,0MVU7WcAUsxJso0To80KRy,Far From the Madding City,2019-04-08,day,0.707,0.854,9,-5.195,0,0.0467,0.105,2.23e-5,0.099,0.396,119.967,4,OOHYO,NA,NA,NA,NA,NA,NA,NA
Escape,Rosy,NA,NA,188586,FALSE,4hVNcfboZ0jhrM2tb8nYZv,33,3fcyxmVS8xyWcqJwifUsad,Escape,2020-08-28,day,0.641,0.739,1,-3.786,1,0.329,0.321,0,0.198,0.585,159.983,4,Rosy,Grizzly,NA,NA,NA,NA,NA,NA
Brother,Nucksal,NA,NA,215826,FALSE,6YpD4ix3CtsKYaXjCDhGRc,19,4sSV6SA4ubFpNm62W8KYRr,1Q87,2020-09-30,day,0.736,0.92,4,-2.609,1,0.229,0.0582,0,0.337,0.863,143.911,4,Nucksal,Don Mills,Los,NA,NA,NA,NA,NA
WON,Nucksal,NA,NA,203546,TRUE,1VMUI4s2yIJGbnn6hP3Rzi,25,4sSV6SA4ubFpNm62W8KYRr,1Q87,2020-09-30,day,0.755,0.864,1,-4.12,1,0.102,0.156,0,0.525,0.507,82.491,4,Nucksal,Woo,Odee,NA,NA,NA,NA,NA
Blue Rose,LEEBADA,NA,NA,207562,FALSE,6nRuiTA6WpHIcXOEctK3GC,33,2FEQU7BTSsYncVAg244A55,THE OCEAN,2019-03-29,day,0.597,0.547,8,-4.793,0,0.0821,0.51,0,0.386,0.24,74.876,4,LEEBADA,NA,NA,NA,NA,NA,NA,NA
Red Herring,Rosy,NA,NA,217870,FALSE,4mkYdK1wHGLbhuUBhIjyUC,25,6qzEOhlO71gjTgpW1NgtuD,Red Herring,2019-02-15,day,0.736,0.629,7,-4.87,0,0.202,0.196,0,0.0648,0.52,149.919,4,Rosy,NA,NA,NA,NA,NA,NA,NA
Faceshopping,SOPHIE,NA,NA,236937,FALSE,0y4YmA9UGpQnWdIFbWBHu0,44,4z3YbEkKWwiIMSJTWUQbTH,OIL OF EVERY PEARL'S UN-INSIDES,2017-06-14,day,0.636,0.441,1,-7.273,1,0.247,0.0528,0.00152,0.0684,0.304,114.045,4,SOPHIE,NA,NA,NA,NA,NA,NA,NA
Ponyboy,SOPHIE,NA,NA,194437,FALSE,30lIB7UwSLy5qgkfYZEtB1,42,4z3YbEkKWwiIMSJTWUQbTH,OIL OF EVERY PEARL'S UN-INSIDES,2017-06-14,day,0.823,0.381,1,-7.372,1,0.0889,4.97e-4,5.42e-4,0.14,0.46,107.996,4,SOPHIE,NA,NA,NA,NA,NA,NA,NA
잊고 살았던 것들,Summer Soul,NA,NA,186044,FALSE,5cSY0Rpfgd9JapMTf9E45W,36,3ntu3EDxTwnlUKnglHiUlh,잊고 살았던 것들,2019-03-17,day,0.47,0.398,0,-5.287,1,0.0583,0.771,1.24e-5,0.0864,0.154,173.973,5,Summer Soul,NA,NA,NA,NA,NA,NA,NA
Laundry,youra,NA,NA,189000,FALSE,5ox8kckUqrHN7RNJem0YYk,25,42FrH2HstVRabB6hWQjuxT,B side,2019-03-05,day,0.645,0.484,0,-8.266,1,0.0484,0.284,5.47e-5,0.165,0.584,76.951,3,youra,NA,NA,NA,NA,NA,NA,NA
haPPiness,SOLE,NA,NA,211026,FALSE,6PZTv0EvVzo6fhgW5ROdHU,48,0ZFcJGKiDF7qr3WiTpUSLn,haPPiness,2020-05-18,day,0.552,0.497,1,-5.027,1,0.124,0.836,0,0.0842,0.506,167.718,4,SOLE,NA,NA,NA,NA,NA,NA,NA
yayou hoi,sogumm,OHHYUK,NA,188149,FALSE,6Thafr92OJpMDGTgpV1Q0M,43,4eqUFj1G7nSod95q2CLxms,yayou hoi,2020-10-05,day,0.665,0.742,5,-5.128,1,0.0692,0.0619,8.74e-5,0.0446,0.525,99.972,4,sogumm,OHHYUK,NA,NA,NA,NA,NA,NA
Caffeine,Eyedi,NA,NA,195973,FALSE,5t8Ae6KUTCNVfC8Zj2JhrR,41,7C5uLagmfRaN8piFHBVoki,Caffeine,2018-12-17,day,0.724,0.711,11,-4.372,0,0.0687,0.0295,6.44e-6,0.194,0.533,109.95,4,Eyedi,NA,NA,NA,NA,NA,NA,NA
"Flicker (feat. Car, the garden)",youra,NA,NA,197750,FALSE,1c1AzkIEm7n4D8QiIfZLiD,28,42FrH2HstVRabB6hWQjuxT,B side,2019-03-05,day,0.675,0.312,9,-6.558,0,0.0467,0.933,1.04e-5,0.0809,0.545,78.848,3,youra,Car,NA,NA,NA,NA,NA,NA
Snail (feat. Youra),KONA,NA,NA,209650,FALSE,3gwPudillLgdgLPIoM3Sbs,8,4HzEcUXCHauvObFsTClpgc,Closet,2020-10-22,day,0.696,0.902,10,-9.153,0,0.0799,0.225,0.275,0.109,0.782,119.933,4,KONA,youra,NA,NA,NA,NA,NA,NA
Blaze,Rolling Quartz,NA,NA,244625,FALSE,0NPa9qu4R45FQliigORMSw,46,0nPzbOcHresvfMPcmqaYNw,Blaze,2020-12-30,day,0.566,0.909,6,-3.124,1,0.0348,0.00129,3.84e-5,0.114,0.503,100.076,4,Rolling Quartz,NA,NA,NA,NA,NA,NA,NA
Whoa,Rakiyah,NA,NA,194227,FALSE,5yRo1NAVk85QoboNQC9rJp,36,1mOpCh8g3ShPy3myW0yWOm,Into the Cosmos,2021-01-05,day,0.46,0.655,0,-7.18,1,0.162,0.135,2.9e-6,0.115,0.302,135.934,4,Rakiyah,NA,NA,NA,NA,NA,NA,NA
Tokyo Story,Miho Hatori,NA,NA,261680,FALSE,3GBm4gzyzTSqDV6SQoJTG1,29,6GK8SFN12deoRdxrVPHXCx,Tokyo Story,2021-01-08,day,0.798,0.656,10,-7.53,0,0.0888,0.0335,0.656,0.088,0.923,102.999,4,Miho Hatori,NA,NA,NA,NA,NA,NA,NA
RUNNIN’ BACK,LEEBADA,NA,NA,181945,FALSE,7qYcGl3sNRkWwKQ2PbulZF,40,2FEQU7BTSsYncVAg244A55,THE OCEAN,2019-03-29,day,0.619,0.637,2,-3.88,0,0.0592,0.192,0,0.0795,0.316,119.076,4,LEEBADA,NA,NA,NA,NA,NA,NA,NA
Master of Tartarus,Various Artists,NA,NA,210560,FALSE,6VBQatr2YcAYkNozWDv4QV,38,4yyExVOiwrE7TDZfxAGgki,ペルソナ3 オリジナル・サウンドトラック,2006-07-19,day,0.72,0.946,7,-7.75,1,0.0749,1.21e-4,0.357,0.0803,0.566,131.027,4,アトラスサウンドチーム,NA,NA,NA,NA,NA,NA,NA
ペルソナ発動,Various Artists,NA,NA,43546,FALSE,4Z5JKzWe2ga50SjMO2yciz,35,4yyExVOiwrE7TDZfxAGgki,ペルソナ3 オリジナル・サウンドトラック,2006-07-19,day,0.623,0.993,8,-11.689,1,0.113,0.0191,0.825,0.29,0.133,160.086,4,アトラスサウンドチーム,NA,NA,NA,NA,NA,NA,NA
深層心理,Various Artists,NA,NA,172600,FALSE,45ao2NALq31dVK3zrfTeOf,39,4yyExVOiwrE7TDZfxAGgki,ペルソナ3 オリジナル・サウンドトラック,2006-07-19,day,0.699,0.821,6,-8.525,0,0.0753,0.0273,0.242,0.123,0.711,124.007,4,アトラスサウンドチーム,NA,NA,NA,NA,NA,NA,NA
巌戸台分寮,Various Artists,NA,NA,151213,FALSE,19LPHv2g3UKY7XpXGkPpsz,47,4yyExVOiwrE7TDZfxAGgki,ペルソナ3 オリジナル・サウンドトラック,2006-07-19,day,0.706,0.619,7,-13.276,1,0.0619,0.00145,0.821,0.025,0.967,89.987,4,アトラスサウンドチーム,NA,NA,NA,NA,NA,NA,NA
Puss,Various Artists,NA,NA,182750,TRUE,2ZMzg8vFYRbvVZvzqx3jMT,38,6WYcD0zHQ64RhV6cpLnLQ8,Unpretty Rapstar Semi Final,2015-03-20,day,0.817,0.936,1,-3.897,1,0.0895,0.00958,9.05e-5,0.209,0.864,99.983,4,Jimin,Irion,NA,NA,NA,NA,NA,NA
Homework!,youra,NA,NA,219500,FALSE,2NZFb3ILAY5gmdHOMxTC3l,26,3eSzJfr41r54E9HS3AJXAV,Virus Mix,2020-07-28,day,0.739,0.634,6,-5.049,0,0.0943,0.521,6.77e-4,0.0867,0.572,79.974,4,youra,NA,NA,NA,NA,NA,NA,NA
"Can I Love ? (feat. youra, Meego)",Cosmic Boy,NA,NA,229750,FALSE,4T2cOfemKB0owJS2JOu7dF,54,3RMvO654eEqnwdmZCwHFs5,Can I Love ?,2019-02-18,day,0.708,0.441,5,-4.212,0,0.0623,0.555,4.52e-6,0.121,0.275,79.958,4,Cosmic Boy,youra,Meego,NA,NA,NA,NA,NA
Red Rose,LEEBADA,NA,NA,217060,FALSE,0yKjz2rvgqHNxG7v6U6GOv,28,2FEQU7BTSsYncVAg244A55,THE OCEAN,2019-03-29,day,0.637,0.805,4,-5.501,0,0.148,0.557,0,0.79,0.618,99.911,4,LEEBADA,NA,NA,NA,NA,NA,NA,NA
Loveholic,LEEBADA,NA,NA,186596,FALSE,0rLS6y8dTvvhpP5cXHciD3,37,2FEQU7BTSsYncVAg244A55,THE OCEAN,2019-03-29,day,0.733,0.569,5,-5.606,1,0.0454,0.227,0,0.115,0.424,90.047,4,LEEBADA,NA,NA,NA,NA,NA,NA,NA
"1,2,3,4,5",LEEBADA,NA,NA,172723,FALSE,7b61zVqUAA3yoCUKOrM96U,31,2FEQU7BTSsYncVAg244A55,THE OCEAN,2019-03-29,day,0.545,0.663,9,-4.365,0,0.188,0.393,0,0.102,0.78,67.689,4,LEEBADA,NA,NA,NA,NA,NA,NA,NA
Drug,LEEBADA,NA,NA,211085,FALSE,1FVtOJnzvGudC6DNaoS07W,28,278iVpilULeLcHexs9IviY,HYPE,2016-11-23,day,0.632,0.756,6,-4.395,1,0.0348,0.0911,3.15e-6,0.479,0.465,97.017,4,LEEBADA,NA,NA,NA,NA,NA,NA,NA
Feedback,BoA,NA,NA,199536,FALSE,61oYciDSVO6OvOqZf9TVPV,29,2mZVQE5xkotAwHEqLySr0h,Feedback,2019-06-04,day,0.734,0.938,7,-3.183,1,0.111,0.0459,0,0.317,0.753,111.981,4,BoA,Nucksal,NA,NA,NA,NA,NA,NA
RAP,Huckleberry P,JackEffect,LT,222458,FALSE,7sUzGrk1jkQs3y5cwsnGmk,0,7F4qgaX4Jio4LDHCvLiifz,RAP,2015-08-20,day,0.524,0.921,0,-4.158,1,0.33,0.0373,0,0.347,0.859,95.901,3,JackEffect,LT,Huckleberry P,NA,NA,NA,NA,NA
AKIRA,Nucksal,NA,NA,190293,FALSE,5ZJPp19igl41fZx5W91zFi,23,4sSV6SA4ubFpNm62W8KYRr,1Q87,2020-09-30,day,0.768,0.909,11,-3.904,0,0.214,0.256,0,0.049,0.61,107.907,4,Nucksal,Gaeko,NA,NA,NA,NA,NA,NA
Nuckle Flow,Nucksal,NA,NA,131320,TRUE,5Wd1AmzOxPOBXkDuhOT1eN,13,4K3feNo5IiRsnwuw3Wspm9,Nuckle Flow,2017-06-24,day,0.723,0.928,1,-4.277,0,0.337,0.395,0,0.286,0.813,106.262,4,Nucksal,NA,NA,NA,NA,NA,NA,NA
