track.name,Album_Artist1,Album_Artist2,Album_Artist3,track.duration_ms,track.explicit,track.id,track.popularity,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Track_Artist1,Track_Artist2,Track_Artist3,Track_Artist4,Track_Artist5,Track_Artist6,Track_Artist7,Track_Artist8
Start a Riot,Various Artists,NA,NA,171466,FALSE,6V81K1OcvYgHEnCA6A2Qx9,67,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,day,0.728,0.727,2,-3.585,1,0.206,0.0128,0,0.0882,0.89,143.144,4,Duckwrth,Shaboozey,NA,NA,NA,NA,NA,NA
"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",Various Artists,NA,NA,219400,FALSE,6kiauSlWtddVQx4JwJx51p,64,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,day,0.58,0.935,6,-4.847,0,0.293,0.176,0,0.514,0.666,129.173,4,DJ Khalil,Denzel Curry,Cordae,Swavay,Trevor Rich,NA,NA,NA
Home,Various Artists,NA,NA,211360,FALSE,7pBsquIkbED6W6uSQJGbkn,63,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,day,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4,Vince Staples,Richie Kohan,NA,NA,NA,NA,NA,NA
"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Various Artists,NA,NA,174893,FALSE,4Uy3kNxW2kB8AEoXljEcth,64,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,day,0.766,0.881,9,-5.158,0,0.137,0.0166,2.3e-6,0.347,0.674,112.027,5,Nicki Minaj,Anuel AA,Bantu,NA,NA,NA,NA,NA
月下美人,Yuri Tanaka,NA,NA,238747,FALSE,7L1YzewyGCGx7CaTLFp8Yi,13,0Zfmn7e43pYtiSgx99c4tN,CITY LIGHTS,2016-12-28,day,0.691,0.586,9,-7.49,0,0.0435,0.293,2.96e-5,0.0816,0.498,75.055,4,Yuri Tanaka,NA,NA,NA,NA,NA,NA,NA
バイブレイション,Yuri Tanaka,NA,NA,229111,FALSE,0Dpx8HsYusxtcHm8dS1I6J,12,0Zfmn7e43pYtiSgx99c4tN,CITY LIGHTS,2016-12-28,day,0.796,0.51,5,-9.793,0,0.0362,0.324,6e-6,0.0695,0.831,95.007,4,Yuri Tanaka,NA,NA,NA,NA,NA,NA,NA
アディオス,池田典代,NA,NA,242200,FALSE,1DI3MTABp2Up68ZAdDaym1,10,4j5PXYpgvsUPvr7ICaiDoc,ドリームインザストリート,2018-01-10,day,0.553,0.661,10,-7.55,0,0.0473,0.618,0.00342,0.347,0.556,134.675,4,池田典代,NA,NA,NA,NA,NA,NA,NA
Dream In The Street,池田典代,NA,NA,298786,FALSE,4z5ANf1h5cohMaoz4De5RV,29,4j5PXYpgvsUPvr7ICaiDoc,ドリームインザストリート,2018-01-10,day,0.77,0.609,5,-11.346,1,0.0352,0.208,0.475,0.0632,0.917,119.346,4,池田典代,NA,NA,NA,NA,NA,NA,NA
Love Is like A Party,池田典代,NA,NA,269946,FALSE,6awCqJbKqF6oynDv1KMUAO,7,4j5PXYpgvsUPvr7ICaiDoc,ドリームインザストリート,2018-01-10,day,0.685,0.721,7,-7.866,1,0.0449,0.115,0.0267,0.0344,0.892,120.856,4,池田典代,NA,NA,NA,NA,NA,NA,NA
My Prayer,池田典代,NA,NA,216173,FALSE,5QSRn5NNeR32jwo26eka7E,6,4j5PXYpgvsUPvr7ICaiDoc,ドリームインザストリート,2018-01-10,day,0.366,0.698,2,-6.954,1,0.0675,0.114,4.02e-4,0.0823,0.723,130.021,4,池田典代,NA,NA,NA,NA,NA,NA,NA
恋のジャイロ,池田典代,NA,NA,209893,FALSE,78sIIN5tttoySd4uHxGart,8,4j5PXYpgvsUPvr7ICaiDoc,ドリームインザストリート,2018-01-10,day,0.707,0.598,11,-7.366,1,0.0321,0.231,0,0.113,0.805,119.046,4,池田典代,NA,NA,NA,NA,NA,NA,NA
Sunday Morning,池田典代,NA,NA,192000,FALSE,01A9oGAuL79RLfsrcFFz6h,7,4j5PXYpgvsUPvr7ICaiDoc,ドリームインザストリート,2018-01-10,day,0.627,0.64,0,-7.038,1,0.0384,0.41,0.00123,0.391,0.692,136.016,4,池田典代,NA,NA,NA,NA,NA,NA,NA
Older Girl,1986 Omega Tribe,NA,NA,255960,FALSE,0Pty8SVxAew9j7eBOD8Kaa,39,5Adv1KmIItHvcrJJzavZpb,Navigator,1986-07-23,day,0.665,0.875,7,-12.724,1,0.0405,0.0891,0.0091,0.157,0.713,102.322,4,1986 Omega Tribe,NA,NA,NA,NA,NA,NA,NA
君は1000%,1986 Omega Tribe,NA,NA,251266,FALSE,5ao8tEjVqtn9zx0YHvtNRU,50,5Adv1KmIItHvcrJJzavZpb,Navigator,1986-07-23,day,0.681,0.435,4,-12.873,0,0.0291,0.614,0,0.134,0.758,131.936,4,1986 Omega Tribe,NA,NA,NA,NA,NA,NA,NA
冷たい雨,池田典代,NA,NA,178906,FALSE,55UZoMAH9RBAJuDyMNiR6m,17,4j5PXYpgvsUPvr7ICaiDoc,ドリームインザストリート,2018-01-10,day,0.615,0.713,9,-7.841,0,0.0368,0.0714,3.68e-4,0.0636,0.967,117.65,4,池田典代,NA,NA,NA,NA,NA,NA,NA
BEAT LOVER,Yu Hayami,NA,NA,243773,FALSE,5VaedftLJpXTVwy1Ec5iyC,19,6QxkumPxVJKhNyfJrawkVP,Beat Lover,2017-01-11,day,0.806,0.9,1,-5.51,1,0.0439,0.617,2.84e-5,0.319,0.874,126.006,4,Yu Hayami,NA,NA,NA,NA,NA,NA,NA
Do It Again,Kiyotaka Sugiyama,S. Kiyotaka & Omega Tribe,NA,275000,FALSE,6PwbCWiHXgYuN9NZl6Tkn7,28,6HM0SPu1eIv721SbsO8l3o,River's Island,1984-03-21,day,0.834,0.739,11,-5.291,0,0.0397,0.324,0.00484,0.114,0.803,122.821,4,S. Kiyotaka & Omega Tribe,Kiyotaka Sugiyama,NA,NA,NA,NA,NA,NA
真夜中のドア,Yuri Tanaka,NA,NA,310404,FALSE,2fggk38cFG35W94aUrU7mg,40,0Zfmn7e43pYtiSgx99c4tN,CITY LIGHTS,2016-12-28,day,0.672,0.631,5,-8.201,1,0.0285,0.0965,1.35e-6,0.137,0.582,107.95,4,Yuri Tanaka,NA,NA,NA,NA,NA,NA,NA
夢冒険,Noriko Sakai,NA,NA,187600,FALSE,1pWm2rFQtFsYo3hNX445Pt,28,3IxjG6jGE3MkxDRoSkBQH5,夢冒険/NORIKO SPECIAL,1988-01-01,day,0.772,0.556,6,-9.098,0,0.0411,0.028,1.57e-5,0.167,0.85,146.251,4,Noriko Sakai,NA,NA,NA,NA,NA,NA,NA
Night Cruise,T-SQUARE,NA,NA,349520,FALSE,1NYBloHxZT7JbjnnZEM39g,42,4gOKAnNA2JHGGA3ZvbV5JE,PARADISE,2015-07-08,day,0.557,0.656,11,-7.587,0,0.0309,0.122,0.277,0.0972,0.802,207.875,4,T-SQUARE,NA,NA,NA,NA,NA,NA,NA
SOLO,JENNIE,NA,NA,169566,FALSE,2wVDWtLKXunswWecARNILj,71,7qAJpYeABXN9ZV5wOOX59k,SOLO,2018-11-12,day,0.751,0.642,3,-5.165,0,0.087,0.0861,0,0.0953,0.388,95.045,4,JENNIE,NA,NA,NA,NA,NA,NA,NA
京城音楽,YELLOW MAGIC ORCHESTRA,NA,NA,286013,FALSE,4sjdPtKTVlrTvzWYIP91Qm,15,3TgsOtKlwTQzNn71HWcuKH,Technodelic,1981-11-21,day,0.691,0.921,11,-5.845,0,0.0579,0.197,0.281,0.0624,0.904,97.537,4,YELLOW MAGIC ORCHESTRA,NA,NA,NA,NA,NA,NA,NA
音楽の計画,YELLOW MAGIC ORCHESTRA,NA,NA,273960,FALSE,5KF5sluL7DFcaMwTPdHwTt,15,5ouO0cdsV0laOO5u6jWHk4,BGM,1981-03-21,day,0.709,0.884,9,-6.638,1,0.0614,0.00195,0.00952,0.236,0.681,126.107,4,YELLOW MAGIC ORCHESTRA,NA,NA,NA,NA,NA,NA,NA
Afro Puffs,Soundtrack/Cast Album,NA,NA,288333,TRUE,287tdUcso07UAu5jxXB2BQ,0,4sVcB2ZFsFla2ltgFfjNBn,Above The Rim,2001,year,0.799,0.876,10,-3.661,0,0.242,0.0424,1.08e-6,0.308,0.525,91.35,4,The Lady Of Rage,NA,NA,NA,NA,NA,NA,NA
Say It Right,Nelly Furtado,NA,NA,223520,FALSE,5qRoxgyvBkvgvOo20wtPhS,46,0KuwW8qW9a0oKhuxydvMvk,The Best of Nelly Furtado (Deluxe),2010-01-01,day,0.873,0.869,1,-6.238,1,0.133,0.047,7.22e-4,0.0463,0.798,116.943,4,Nelly Furtado,NA,NA,NA,NA,NA,NA,NA
Rock Your Body,Justin Timberlake,NA,NA,267266,FALSE,1AWQoqb9bSvzTjaLralEkT,72,6QPkyl04rXwTGlGlcYaRoW,Justified,2002-11-04,day,0.891,0.714,4,-6.055,0,0.14,0.202,2.34e-4,0.0521,0.818,100.972,4,Justin Timberlake,NA,NA,NA,NA,NA,NA,NA
Like I Love You,Justin Timberlake,NA,NA,283626,FALSE,6W2Ef5Ph6ILTUAedoQ3QIv,61,6QPkyl04rXwTGlGlcYaRoW,Justified,2002-11-04,day,0.853,0.811,6,-4.926,0,0.0646,0.0439,3.04e-4,0.0703,0.901,114.961,4,Justin Timberlake,NA,NA,NA,NA,NA,NA,NA
Womanizer,Britney Spears,NA,NA,224400,FALSE,4fixebDZAVToLbUCuEloa2,75,2tve5DGwub1TtbX1khPX5j,Circus (Deluxe Version),2008-12-02,day,0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139,4,Britney Spears,NA,NA,NA,NA,NA,NA,NA
ファイアークラッカー,YELLOW MAGIC ORCHESTRA,NA,NA,292506,FALSE,7MUO72DucIUaSVlPho4Sx3,29,0Sp6LKl6N70mrp6Wn5VA6t,YMO,1979,year,0.707,0.964,2,-2.046,1,0.0379,0.167,0.515,0.0612,0.971,119.938,4,YELLOW MAGIC ORCHESTRA,NA,NA,NA,NA,NA,NA,NA
東風,YELLOW MAGIC ORCHESTRA,NA,NA,375106,FALSE,4jwrNFs6QlLsVkeOkFQZkF,29,76xjrDclKxWzJdDz3isxBX,Yellow Magic Orchestra,1978-11-12,day,0.612,0.652,0,-11.105,1,0.0331,0.00502,0.902,0.0991,0.582,135.424,4,YELLOW MAGIC ORCHESTRA,NA,NA,NA,NA,NA,NA,NA
Non-Standard Mixture,Haruomi Hosono,NA,NA,424240,FALSE,3BOxDRt5HFDBFrdajDOjM7,12,0AXCPuHNL9q0EXsvD99gy5,MAKING OF NON-STANDARD MUSIC,1984,year,0.823,0.803,2,-9.068,1,0.0526,0.0598,0.877,0.198,0.64,98.79,4,Haruomi Hosono,NA,NA,NA,NA,NA,NA,NA
BODY SNATCHERS/ボディー・スナッチャーズ,Haruomi Hosono,NA,NA,350146,FALSE,1X9Mfa7sBkD93zGI2IuKDi,30,43fijnO4yvvtThr62134CL,S-F-X,1984,year,0.726,0.927,10,-5.163,0,0.0685,0.0104,0.834,0.326,0.846,122.413,4,Haruomi Hosono,NA,NA,NA,NA,NA,NA,NA
Exotic Dance - Yellow Magic Orchestra Mix,Charles Wilp,NA,NA,215613,FALSE,2C35vWg4jtm5KcnyjIG31j,31,5nKG9OTXrDGWsXg8hG3t9E,Michelangelo in Space,2000,year,0.796,0.468,8,-13.251,1,0.0459,0.794,0.942,0.342,0.388,106.051,4,Haruomi Hosono,YELLOW MAGIC ORCHESTRA,NA,NA,NA,NA,NA,NA
Flicker,Rina Sawayama,NA,NA,180270,FALSE,4dt65BryNBYLgcKq4FJjbK,0,3g8P1KeDjO93R6OPq3SRLT,Flicker,2018-11-28,day,0.611,0.918,10,-4.096,0,0.0628,0.334,0,0.19,0.766,138.981,4,Rina Sawayama,NA,NA,NA,NA,NA,NA,NA
Palette (Feat. G-DRAGON),IU,NA,NA,217412,FALSE,3y7ByLZ05tluscOTRgEJ9Y,66,5V8n6fqyAPxvFTibPhQVcp,Palette,2017-04-21,day,0.804,0.68,0,-3.81,1,0.2,0.458,0,0.102,0.62,102.013,4,IU,NA,NA,NA,NA,NA,NA,NA
Bleed It Dry,Alter Bridge,NA,NA,284859,FALSE,7hsMvQfbErJ82LNq1kCwsf,28,3oMt2cUO9IIttONwd6eHRO,Fortress,2013-01-01,day,0.385,0.972,10,-4.727,0,0.149,1.01e-4,2.1e-5,0.381,0.256,164.065,3,Alter Bridge,NA,NA,NA,NA,NA,NA,NA
The Uninvited,Alter Bridge,NA,NA,286720,FALSE,2wMJG6Ql5rqFa8APq823H7,27,3oMt2cUO9IIttONwd6eHRO,Fortress,2013-01-01,day,0.285,0.955,1,-4.438,1,0.157,1.23e-4,3.76e-4,0.159,0.206,125.121,3,Alter Bridge,NA,NA,NA,NA,NA,NA,NA
Peace Is Broken,Alter Bridge,NA,NA,280850,FALSE,3vFx8IbnshmlhnwG7S2B2F,26,3oMt2cUO9IIttONwd6eHRO,Fortress,2013-01-01,day,0.23,0.977,1,-3.652,1,0.147,2.43e-5,8.26e-6,0.337,0.388,129.854,3,Alter Bridge,NA,NA,NA,NA,NA,NA,NA
Fortress,Alter Bridge,NA,NA,457574,FALSE,7nchX58JootkrOPZxK0ahi,32,3oMt2cUO9IIttONwd6eHRO,Fortress,2013-01-01,day,0.181,0.943,6,-4.117,1,0.0949,1.37e-4,4.45e-4,0.101,0.303,179.056,3,Alter Bridge,NA,NA,NA,NA,NA,NA,NA
the light is coming (feat. Nicki Minaj),Ariana Grande,NA,NA,228373,TRUE,0sdbFOyfgAhAhWq8DpzkaW,64,3tx8gQqWbGwqIGZHqDNrGe,Sweetener,2018-08-17,day,0.877,0.547,7,-5.705,1,0.18,0.0122,1.51e-5,0.028,0.687,99.034,4,Ariana Grande,Nicki Minaj,NA,NA,NA,NA,NA,NA
BBIBBI,IU,NA,NA,194426,FALSE,4as4XEOR03oGm1STUKl6pa,70,4ghBzVOTFoeKPPmyNKjVtI,BBIBBI,2018-10-10,day,0.839,0.617,7,-4.692,1,0.331,0.241,0,0.3,0.821,143.894,4,IU,NA,NA,NA,NA,NA,NA,NA
Friday (feat.Jang Yi-jeong of HISTORY),IU,NA,NA,217155,FALSE,0GsRx0gPft6RmijIwMsKmG,57,56MqewtCUq5bplrqEYTVL0,Modern Times ? Epilogue,2013-12-20,day,0.693,0.529,9,-4.819,1,0.053900000000000003,0.56,0,0.111,0.555,80.026,4,IU,NA,NA,NA,NA,NA,NA,NA
Crayon,IU,NA,NA,193880,FALSE,2Tw2V8Ps4GuzZfcSwJufQ8,34,56MqewtCUq5bplrqEYTVL0,Modern Times ? Epilogue,2013-12-20,day,0.565,0.774,6,-3.927,0,0.14,0.236,0,0.635,0.674,89.849,4,IU,NA,NA,NA,NA,NA,NA,NA
Shoes,IU,NA,NA,215205,FALSE,2FDTnypxiwIZNjoO9T1j6O,45,3rMvAe0zU0pJRnRa7Rfc1U,CHAT-SHIRE,2015-10-23,day,0.766,0.814,9,-1.908,1,0.0351,0.505,1.92e-5,0.346,0.893,92.004,4,IU,NA,NA,NA,NA,NA,NA,NA
獣ゆく細道,Sheena Ringo,Hiroji Miyamoto,NA,224053,FALSE,3UJIq4L2TI6vdKyW0ed0e4,38,6vxuCuP23zQ5PoTxVt1ymq,獣ゆく細道,2018-10-02,day,0.423,0.799,4,-4.227,0,0.0447,0.0134,4.06e-6,0.147,0.556,124.626,4,Sheena Ringo,Hiroji Miyamoto,NA,NA,NA,NA,NA,NA
I Thought It Was You,笠井 紀美子,NA,NA,428426,FALSE,3QOJdBuXIxpfZ0UfUyErpJ,38,2xbDI0ItU5LUmk2HvFKUcw,Butterfly,1979,year,0.614,0.761,8,-14.346,0,0.0476,0.0856,0.618,0.063,0.881,122.889,4,笠井 紀美子,Herbie Hancock,NA,NA,NA,NA,NA,NA
おとなの掟,Sheena Ringo,Nao Matsuzaki,NA,204693,FALSE,6AZKBua6AW9kFBsxiGloBx,37,2NpYRYxIXuOwVtUk73VzLZ,おとなの掟,2017-12-22,day,0.44,0.476,1,-5.793,0,0.0351,0.0195,2.67e-6,0.129,0.404,172.327,4,Sheena Ringo,Nao Matsuzaki,NA,NA,NA,NA,NA,NA
