Artist,Followers,Popularity,num_songs,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,id
Nate Dogg,981920,79,1,g funk,gangster rap,hip hop,pop rap,rap,west coast rap,NA,NA,NA,NA,1Oa0bMld0A3u5OTYfMzp5h
Natsuko Nisshoku,32715,40,1,japanese singer-songwriter,NA,NA,NA,NA,NA,NA,NA,NA,NA,4GnFg9D7Ds99UI0r5t9PZK
Natvnomvzik,121,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2zOzJOxLjXfmycB4nh2VKk
NCT 127,3526081,75,1,k-pop,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,7f4ignuCJhLXfZ9giKT7rH
Nirvana,11995497,84,1,alternative rock,grunge,permanent wave,rock,NA,NA,NA,NA,NA,NA,6olE6TJLqED3rqDCT0FyPh
No Doubt,1838483,70,1,alternative rock,dance pop,permanent wave,pop rock,NA,NA,NA,NA,NA,NA,0cQbJU1aAzvbEmTuljWLlF
Noriko Sakai,13068,38,1,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,5O6fCwFxAOAEOtW0FCXNEd
Nujabes,538227,65,1,chillhop,downtempo,japanese chillhop,japanese old school hip hop,jazz rap,NA,NA,NA,NA,NA,3Rq3YOF9YG9YfCWD4D56RZ
Odee,1123,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6cXolDFPOgf0wuRe5kMPxo
offonoff,214423,57,1,chill r&b,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,0dTj3SqwE8kPnCzyzvYzhT
Oh No,41458,49,1,alternative hip hop,wonky,NA,NA,NA,NA,NA,NA,NA,NA,5PA6iCCOkq14PpMWWlhJ5T
OHHYUK,25505,50,1,k-indie,korean pop,NA,NA,NA,NA,NA,NA,NA,NA,68TCVp5t1Dxi2TvNuYoYK0
Oikawa Neko,21,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6hnDAp7sMJs7VsuDxclyou
Okasian,38569,37,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,5XdnR0kqQUWzeTDdsJNulO
Okazaki Taiiku,72591,48,1,japanese electropop,NA,NA,NA,NA,NA,NA,NA,NA,NA,5yKQkcO2MWUp3Z5jUs70pW
OLEK,3126,60,1,polish hip hop,polish trap,NA,NA,NA,NA,NA,NA,NA,NA,4nRJJWVfbPAULHZl7VYVE8
Omegah Red,3637,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0uOSxOGedkz9jzlhbTJcDB
Osshun Gum,6767,34,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,4F4rHRjTw15zhEFKvnLs7q
Pacewon,4979,47,1,new jersey rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,4xlnKEcLzFYoxRmAuxI2Yt
Palms Trax,46469,42,1,float house,lo-fi house,NA,NA,NA,NA,NA,NA,NA,NA,52XSRQqTAfZ8ZrIqkQvQyA
PASSEPIED,49017,43,1,idol rock,j-poprock,japanese alternative rock,japanese indie pop,NA,NA,NA,NA,NA,NA,115IWAVy4OTxhE0xdDef1c
Passionate Mc,2007,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39Cz5apCJ3Dp63FFZSxsCp
PENTAGON,1140075,66,1,k-pop,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,1wKpMkucynaTfG8lyPprYV
Perfume,552043,58,1,bitpop,j-idol,j-pop,j-pop girl group,japanese electropop,shibuya-kei,NA,NA,NA,NA,2XMxWKPKCxoLkSdpCViCnr
Philtre,442,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3FIZk2kINBRZGWMxOfSevK
Playdough,2807,15,1,christian hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,2hjEGPXpN1BGpNjODQ4ImL
Priscilla,1289,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3guo5KSFSYSvcyH7kEiNBy
Q-Tip,438558,67,1,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop,neo soul,queens hip hop,NA,NA,NA,NA,3ZotbHeyVQKxQCPDJuQ4SU
R.A. The Rugged Man,98764,54,1,alternative hip hop,conscious hip hop,east coast hip hop,hardcore hip hop,hip hop,underground rap,NA,NA,NA,NA,3mUHAiDazZq75gh6If5zoD
Raekwon,410543,65,1,alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop,NA,NA,NA,2yQf6b8hxahZaT5dHlWaB1
Raito,4649,41,1,japanese vgm,sound team,NA,NA,NA,NA,NA,NA,NA,NA,7kxmGiNppHPNj3rfnolmkN
Rakim,548126,60,1,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,NA,NA,NA,NA,NA,3PyWEKLWI0vHPmoNrIX0QE
Rakiyah,2630,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3EaMWS6JZsJwBICEFUsWPR
Rapsody,178971,60,1,alternative hip hop,hip hop,north carolina hip hop,southern hip hop,trap queen,underground hip hop,NA,NA,NA,NA,6NL31G53xThQXkFs7lDpL5
Rarin,12842,66,1,sad rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,3VhKwjUzCzgIJAzpjMBXmQ
Red Velvet - IRENE & SEULGI,198755,63,1,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6bwp9ObI8FWvMPCIWVBmhl
Reddy,26298,46,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,69H1Ooj2eBJXLTk3IEBV0v
RHYME,498,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5soNcAUPxpWwipU594dlqZ
Rich Travali,120,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0vjnkhhMwacKwkrJFE0TVH
Richie Kohan,1144,51,1,epicore,NA,NA,NA,NA,NA,NA,NA,NA,NA,3QYRu7CWJylnxkvbTS3ovC
RJD2,312338,57,1,alternative hip hop,big beat,electronica,hip hop,jazztronica,ninja,nu jazz,turntablism,NA,NA,1O3ZOjqFLEnbpZexcRjocn
Rob Thomas,629171,65,1,neo mellow,pop rock,NA,NA,NA,NA,NA,NA,NA,NA,3aBkeBhwadnWMWoVJ2CxJC
Rockwell,15696,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3xs0LEzcPXtgNfMNcHzLIP
Rolling Quartz,16657,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5mVYT7sPm3xsNMrA8YWONe
Ruff Loaderz,507,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5JOIrGvup0vD5VjodB62Ui
Ryan Tedder,22780,62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4we5S2VLjgY9KzIzApL1KI
SAAY,67473,48,1,korean r&b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2pvCf5g7XBReiPIvcq7W18
Sama-D,13,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4u9CDfsHbUCQ8ExDcpYDOB
San E,68986,42,1,k-pop,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,61MMiylth1injW39oZBuYB
Saudi,17207,55,1,south african hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,37Qsf5KCKljH7mL134xp4k
SCANDAL,219914,54,1,anime,idol rock,j-pop,j-poprock,NA,NA,NA,NA,NA,NA,7hTZwqQILVH4bAbN67CeEz
Selena Gomez & The Scene,6147425,71,1,dance pop,electropop,pop,pop dance,pop rap,post-teen pop,viral pop,NA,NA,NA,6dJeKm76NjfXBNTpHmOhfO
Seo Taiji and Boys,11906,32,1,korean pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,52Gsa9Zypqztm2DeNkQfCm
SEUNGRI,415281,62,1,k-pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,20j1uz7iDOtIvIzCr5S8nx
Shaboozey,11939,56,1,pop rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,3y2cIKLjiOlp1Np37WiUdH
Shina-E,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0zWF6kgIyBbdEnrxWLgh2V
SHINee,2070366,66,1,k-pop,k-pop boy group,NA,NA,NA,NA,NA,NA,NA,NA,2hRQKC0gqlZGPrmUKbcchR
Shing02,44143,50,1,ambeat,NA,NA,NA,NA,NA,NA,NA,NA,NA,0FB6beTn4vescDdnHeCUm9
SHISHAMO,339578,54,1,j-pop,j-poprock,j-rock,japanese alternative rock,NA,NA,NA,NA,NA,NA,6MGHit7sV38BhpChZYByFv
Shofu,10441,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6Mt5Jv5qiHPyCmnaLbr6Rz
SIKK-O,349,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62x90xtztIeFjU7Z9eVKDR
Simon Phillips,293,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1OGCS507PQzgLappLg26AK
SIRUP,153534,57,1,j-pop,japanese r&b,japanese soul,NA,NA,NA,NA,NA,NA,NA,1HzcHe0WFm4koBalCEOkVh
Sister Nancy,83414,53,1,dub,old school dancehall,reggae,roots reggae,NA,NA,NA,NA,NA,NA,21pMSs2JHWwwy2kp1QIIVB
Skepta,872034,80,1,birmingham grime,grime,instrumental grime,rap,NA,NA,NA,NA,NA,NA,2p1fiYHYiXz9qi0JJyxBzN
