Artist,Followers,Popularity,num_songs,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,id
Yoko Oginome,47439,44,1,classic city pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,6yqXW1ZKNeDm04DguLHoJk
YonYon,16851,48,1,japanese chill rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,31cQ1UZ89lT9gFf6bvADZl
Young Thug,5870861,91,1,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,rap,trap,NA,NA,50co4Is1HCEo8bhOyUWKpn
Young Zee,4575,42,1,new jersey rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,4OqgHlGnIFHukth5CY1Ejj
Yubin,124442,44,1,k-pop,korean city pop,NA,NA,NA,NA,NA,NA,NA,NA,3JUj7c2h5xkdOf0GJ07VWE
Yufu Terashima,2045,17,1,alt-idol,NA,NA,NA,NA,NA,NA,NA,NA,NA,1EprrjlHDT5PD1w2NrHDPJ
Yugen Blakrok,11140,48,1,south african hip hop,spiritual hip hop,NA,NA,NA,NA,NA,NA,NA,NA,3kv1Edgn5HlEWCuEKr1Y9x
Yuko Ando,39875,58,1,anime,j-rock,japanese singer-songwriter,NA,NA,NA,NA,NA,NA,NA,12dhEcVUnJVnIQLt91VdA3
Yuksek,85042,54,1,alternative dance,dance-punk,disco house,electro house,electrofox,electronica,filter house,french indie pop,french indietronica,new french touch,2ePIzx9NjxplS724QMZtsf
YunB,10184,36,1,k-rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,2Z7teNgQJnz6qUp8FmhEtG
Yuzo Koshiro,11363,46,1,japanese vgm,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e5j2AHVM9srnFD0Lev7TO
Zack De La Rocha,60324,55,1,industrial hip hop,political hip hop,NA,NA,NA,NA,NA,NA,NA,NA,1jKpNUjiz4KXgaAZD5FI9S
ZOMBIE-CHANG,13603,32,1,j-indie,japanese electropop,NA,NA,NA,NA,NA,NA,NA,NA,3Wsg07elLUSq6AdkUw1W9U
